,beta,score,forwardPE,currentRatio,profitMargin,debtToEquity,returnOnEquity,longBusinessSummary
KMX,1.403575,-1,2,2,0,0,1,"CarMax, Inc., together with its subsidiaries, operates as a retailer of used vehicles in the United States. The company operates through two segments, CarMax Sales Operations and CarMax Auto Finance. It offers customers a range of makes and models of used vehicles, including domestic, imported, and luxury vehicles, as well as hybrid and electric vehicles; and extended protection plans to customers at the time of sale, as well as sells vehicles that are approximately 10 years old and has more than 100,000 miles through wholesale auctions. The company also provides reconditioning and vehicle repair services; and financing alternatives for retail customers across a range of credit spectrum through its CarMax Auto Finance and arrangements with various financial institutions. As of February 28, 2022, it operated approximately 230 used car stores. CarMax, Inc. was founded in 1993 and is based in Richmond, Virginia."
GOOS,1.423747,-1,0,2,0,1,1,"Canada Goose Holdings Inc. designs, manufactures, and sells performance luxury apparel for men, women, youth, children, and babies in Canada, the United States, Asia Pacific, Europe, the Middle East, Africa, and Latin America. The company operates through three segments: Direct-to-Consumer, Wholesale, and Other. It offers parkas, lightweight down jackets, rainwear, windwear, knitwear, footwear, and accessories for fall, winter, and spring seasons. As of April 3, 2022, the company operated through its 56 national e-commerce markets and 41 directly operated retail stores in North America, Europe, and Asia Pacific. It also sells its products through wholesale partners and distributors. The company was founded in 1957 and is headquartered in Toronto, Canada."
HSW,-1.0,-1,-1,-1,-1,-1,-1,-1
MCD,0.554704,-1,0,-1,2,-1,-1,"McDonald's Corporation operates and franchises McDonald's restaurants in the United States and internationally. Its restaurants offer hamburgers and cheeseburgers, chicken sandwiches and nuggets, wraps, fries, salads, oatmeal, shakes, desserts, sundaes, soft serve cones, bakery items, soft drinks, coffee, and beverages and other beverages, as well as breakfast menu, including biscuit and bagel sandwiches, breakfast burritos, hotcakes, and other sandwiches. As of December 31, 2021, the company operated 40,031 restaurants. McDonald's Corporation was founded in 1940 and is headquartered in Chicago, Illinois."
H,1.417624,-1,0,1,0,1,0,"Hyatt Hotels Corporation operates as a hospitality company in the United States and internationally. It operates through Owned and Leased Hotels, Americas Management and Franchising, ASPAC Management and Franchising, EAME/SW Asia Management and Franchising, and Apple Leisure Group segments. The company manages, franchises, licenses, owns, and leases portfolio of properties, consisting of full-service hotels, select service hotels, resorts, and other properties, including timeshare, fractional, residential, vacation, and condominium units. It operates its properties under the Park Hyatt, Miraval, Grand Hyatt, Alila, Andaz, The Unbound Collection by Hyatt, Destination, Hyatt Regency, Hyatt, Thompson Hotels, Hyatt Centric, Joie de Vivre, Caption by Hyatt, Hyatt House, Hyatt Place, Hyatt Ziva, Hyatt Zilara, UrCove, Hyatt Residence Club, Hyatt Residences, Hyatt Resorts, Secrets Resorts & Spas, Dreams Resorts & Spas, Breathless Resorts & Spas, Zoetry Wellness & Spa Resorts, Alua Hotels & Resorts, and Sunscape Resorts & Spas brands. As of March 31, 2022, the company's hotel portfolio consisted of approximately 540 hotels comprising 113,000 rooms worldwide. It primarily serves corporations; national, state, and regional associations; specialty market accounts, including social, government, military, educational, religious, and fraternal organizations; travel agency and luxury organizations; and a group of individual consumers. The company also operates World of Hyatt loyalty program which rewards points that can be redeemed for hotel nights and other rewards. Hyatt Hotels Corporation was founded in 1957 and is headquartered in Chicago, Illinois."
533155,-1.0,-1,-1,-1,-1,-1,-1,-1
LE,2.473392,-1,2,2,0,1,0,"Lands' End, Inc. operates as a uni-channel retailer of casual clothing, accessories, footwear, and home products in the United States, Europe, Asia, and internationally. It operates through U.S. eCommerce, Europe eCommerce, Japan eCommerce, Outfitters, Third Party, and Retail segments. The company sells its products online through e-commerce, company operated stores, as well as through third party distribution channels under the Lands' End, Let's Get Comfy, Lands' End Lighthouse, Square Rigger, Squall, Super-T, Drifter, Outrigger, Marinac, Beach Living, as well as Supima, No-Gape, Starfish, Iron Knees, Hyde Park, Year' Rounder, ClassMate, Willis & Geiger, and ThermaCheck brands. As of January 28, 2022, it operated 30 stores. Lands' End, Inc. was founded in 1963 and is headquartered in Dodgeville, Wisconsin."
LVS,1.252873,-1,2,2,2,0,0,"Las Vegas Sands Corp., together with its subsidiaries, develops, owns, and operates integrated resorts in Asia and the United States. It owns and operates The Venetian Macao Resort Hotel, the Londoner Macao, The Parisian Macao, The Plaza Macao and Four Seasons Hotel Macao, Cotai Strip, and the Sands Macao in Macao, the People's Republic of China; and Marina Bay Sands in Singapore. The company also owns and operates The Venetian Resort Hotel Casino on the Las Vegas Strip; and the Sands Expo and Convention Center in Las Vegas, Nevada. Its integrated resorts feature accommodations, gaming, entertainment and retail malls, convention and exhibition facilities, celebrity chef restaurants, and other amenities. Las Vegas Sands Corp. was founded in 1988 and is based in Las Vegas, Nevada."
BABA,0.548541,-1,2,1,0,2,0,"Alibaba Group Holding Limited, through its subsidiaries, provides technology infrastructure and marketing reach to help merchants, brands, retailers, and other businesses to engage with their users and customers in the People's Republic of China and internationally. The company operates through seven segments: China Commerce, International Commerce, Local Consumer Services, Cainiao, Cloud, Digital Media and Entertainment, and Innovation Initiatives and Others. It operates Taobao Marketplace, a social commerce platform; Tmall, a third-party online and mobile commerce platform for brands and retailers; Alimama, a monetization platform; 1688.com and Alibaba.com, which are online wholesale marketplaces; AliExpress, a retail marketplace; Lazada, Trendyol, and Daraz that are e-commerce platforms; Freshippo, a self-operated retail chain; and Tmall Global, an import e-commerce platform. The company also operates Taoxianda, an online-offline integration service for FMCG brands and third-party grocery retail partners; Cainiao Network logistic services platform; Ele.me, an on-demand delivery and local services platform; Koubei, a restaurant and local services guide platform; and Fliggy, an online travel platform. In addition, it offers pay-for-performance, in-feed, and display marketing services; and Taobao Ad Network and Exchange, a real-time online bidding marketing exchange. Further, the company provides elastic computing, storage, network, security, database and big data, and IoT services. Additionally, it operates Youku, an online video platform; Alibaba Pictures and other content platforms that provide online videos, films, live events, news feeds, literature, music, and others; Amap, a mobile digital map, navigation, and real-time traffic information app; DingTalk, a business efficiency mobile app; and Tmall Genie smart speaker. The company was incorporated in 1999 and is based in Hangzhou, the People's Republic of China."
LREN3,-1.0,-1,-1,-1,-1,-1,-1,-1
LOOK,-1.0,-1,-1,-1,-1,-1,-1,-1
LULU,1.29587,-1,0,1,1,2,2,"lululemon athletica inc., together with its subsidiaries, designs, distributes, and retails athletic apparel and accessories for women and men. It operates in two segments, Company-Operated Stores and Direct to Consumer. The company offers pants, shorts, tops, and jackets for healthy lifestyle and athletic activities, such as yoga, running, and training, as well as other sweaty pursuits. It also provides fitness-related accessories and footwear. The company sells its products through a chain of company-operated stores; outlets and warehouse sales; interactive workout platform; a network of wholesale accounts, such as yoga studios, health clubs, and fitness centers; temporary locations; and license and supply arrangements, as well as directly to consumer through mobile apps and lululemon.com e-commerce website. As of January 30, 2022, it operated 574 company-operated stores under the lululemon brand in the United States, Canada, the People's Republic of China, Australia, the United Kingdom, Japan, New Zealand, Germany, South Korea, Singapore, France, Malaysia, Sweden, Ireland, the Netherlands, Norway, and Switzerland. lululemon athletica inc. was founded in 1998 and is based in Vancouver, Canada."
CZR,2.816091,-1,0,0,0,0,0,"Caesars Entertainment, Inc. operates as a gaming and hospitality company in the United States. The company operates casinos comprising poker, keno, and race and online sportsbooks; dining venues, bars, nightclubs, and lounges; hotels; and entertainment venues. It also provides staffing and management services; accessories, souvenirs, and decorative items through retail stores; and online sports betting and iGaming services. As of December 31,2021, the company owned, leased, and managed 52 domestic properties in 16 states, consisting of approximately 55,700 slot machines, video lottery terminals, and e-tables; 2,900 table games; and 47,700 hotel rooms. Caesars Entertainment, Inc. was founded in 1937 and is based in Reno, Nevada."
MGLU3,-1.0,-1,-1,-1,-1,-1,-1,-1
500520,-1.0,-1,-1,-1,-1,-1,-1,-1
MAR,1.618135,-1,0,0,2,0,2,"Marriott International, Inc. operates, franchises, and licenses hotel, residential, and timeshare properties worldwide. The company operates through U.S. and Canada, and International segments. It operates its properties under the JW Marriott, The Ritz-Carlton, Ritz-Carlton Reserve, W Hotels, The Luxury Collection, St. Regis, EDITION, Bulgari, Marriott Hotels, Sheraton, Delta Hotels, Marriott Executive Apartments, Marriott Vacation Club, Westin, Renaissance, Le Méridien, Autograph Collection, Gaylord Hotels, Tribute Portfolio, Design Hotels, Courtyard, Residence Inn, Fairfield by Marriott, SpringHill Suites, Four Points, TownePlace Suites, Aloft, AC Hotels by Marriott, Protea Hotels, Element, and Moxy brand names. As of February 15, 2022, it operated approximately 7,989 properties under 30 hotel brands in 139 countries and territories. Marriott International, Inc. was founded in 1927 and is headquartered in Bethesda, Maryland."
532500,-1.0,-1,-1,-1,-1,-1,-1,-1
BURL,0.85994,-1,2,1,0,0,2,"Burlington Stores, Inc. operates as a retailer of branded apparel products in the United States. The company provides fashion-focused merchandise, including women's ready-to-wear apparel, menswear, youth apparel, footwear, accessories, toys, gifts, and coats, as well as baby, home, and beauty products. As of January 29, 2022, it operated 837 stores under the Burlington Stores name, 2 stores under the Cohoes Fashions name, and 1 store under the MJM Designer Shoes name in 45 states and Puerto Rico. Burlington Stores, Inc. was founded in 1972 and is headquartered in Burlington, New Jersey."
ANF,1.515781,-1,2,1,0,1,0,"Abercrombie & Fitch Co., through its subsidiaries, operates as a specialty retailer. The company operates in two segments, Hollister and Abercrombie. It offers an assortment of apparel, personal care products, and accessories for men, women, and children under the Hollister, Abercrombie & Fitch, abercrombie kids, Moose, Seagull, Gilly Hicks, and Social Tourist brands. As of January 29, 2022, it operated approximately 729 retail stores in Europe, Asia, Canada, the Middle East, United States, and internationally. The company sells products through its stores; various third-party wholesale, franchise, and licensing arrangements; and e-commerce platforms. Abercrombie & Fitch Co. was founded in 1892 and is headquartered in New Albany, Ohio."
